Summary Stat,Value
Total number of sites included in first-stage estimation,2407
Total number of sites with cumulative gross savings estimates,2407
Total number of sites with normal year annualized gross savings,2407
Total number of sites with year one annualized gross savings,2407
Total number of sites with year two annualized gross savings,1579
Min cumulative gross savings,-36202.8554934
Max cumulative gross savings,60283.1912284
Average cumulative gross savings,901.549861395
10th percentile value cumulative gross savings,-3846.68207827
20th percentile value cumulative gross savings,-1667.06521474
30th percentile value cumulative gross savings,-621.253560452
40th percentile value cumulative gross savings,24.012866911
50th percentile value cumulative gross savings,615.756452055
60th percentile value cumulative gross savings,1264.99031473
70th percentile value cumulative gross savings,2164.81541009
80th percentile value cumulative gross savings,3211.71309649
90th percentile value cumulative gross savings,5997.94022377
Min normal year annualized savings,-22878.847221
Max normal year annualized savings,20384.7746178
Average normal year annualized savings,118.215136823
10th percentile value normal year annualized savings,-1727.41224431
20th percentile value normal year annualized savings,-823.853068434
30th percentile value normal year annualized savings,-420.102132516
40th percentile value normal year annualized savings,-148.48386194
50th percentile value normal year annualized savings,79.4487362958
60th percentile value normal year annualized savings,300.594598599
70th percentile value normal year annualized savings,596.845188359
80th percentile value normal year annualized savings,1076.11654466
90th percentile value normal year annualized savings,1945.9030804
Min year one annualized savings,-16360.1185837
Max year one annualized savings,20370.822
Average year one annualized savings,190.937710027
10th percentile value year one annualized savings,-1524.02546925
20th percentile value year one annualized savings,-707.703292719
30th percentile value year one annualized savings,-356.162439758
40th percentile value year one annualized savings,-101.973627718
50th percentile value year one annualized savings,98.0850652022
60th percentile value year one annualized savings,317.250093347
70th percentile value year one annualized savings,613.102920896
80th percentile value year one annualized savings,1092.10314407
90th percentile value year one annualized savings,1926.16785447
Min year two annualized savings,-11012.1126395
Max year two annualized savings,24052.6191795
Average year two annualized savings,555.065342458
10th percentile value year two annualized savings,-1882.55623893
20th percentile value year two annualized savings,-904.64717737
30th percentile value year two annualized savings,-269.52381333
40th percentile value year two annualized savings,94.3920406988
50th percentile value year two annualized savings,459.147070317
60th percentile value year two annualized savings,822.43622
70th percentile value year two annualized savings,1249.3765896
80th percentile value year two annualized savings,1935.33047458
90th percentile value year two annualized savings,3024.52910294
Min heating balance point temp baseline period,55.0
Max heating balance point temp baseline period,65.0
Average heating balance point temp baseline period,60.9682749504
10th percentile value heating balance point temp baseline period,55.0
20th percentile value heating balance point temp baseline period,55.0
30th percentile value heating balance point temp baseline period,60.0
40th percentile value heating balance point temp baseline period,60.0
50th percentile value heating balance point temp baseline period,60.0
60th percentile value heating balance point temp baseline period,65.0
70th percentile value heating balance point temp baseline period,65.0
80th percentile value heating balance point temp baseline period,65.0
90th percentile value heating balance point temp baseline period,65.0
Min cooling balance point temp baseline period,65.0
Max cooling balance point temp baseline period,75.0
Average cooling balance point temp baseline period,68.9697908598
10th percentile value cooling balance point temp baseline period,65.0
20th percentile value cooling balance point temp baseline period,65.0
30th percentile value cooling balance point temp baseline period,65.0
40th percentile value cooling balance point temp baseline period,65.0
50th percentile value cooling balance point temp baseline period,70.0
60th percentile value cooling balance point temp baseline period,70.0
70th percentile value cooling balance point temp baseline period,70.0
80th percentile value cooling balance point temp baseline period,75.0
90th percentile value cooling balance point temp baseline period,75.0
Count of heating + cooling models baseline period,800
Count of heating only models baseline period,713
Count of cooling only models baseline period,491
Count of intercept-only models baseline period,403
Mean heating coefficient value across all baseline period models,0.75258508305
Min heating coefficient value across all baseline period models,0.0386666426444
Max heating coefficient value across all baseline period models,10.5760673904
Mean cooling coefficient value across all baseline period models,5.50044883362
Min cooling coefficient value across all baseline period models,0.000277746142529
Max cooling coefficient value across all baseline period models,692.277328835
Count of sites where number of model parameters changes between baseline and reporting,1097
Count of sites where type of model changes between baseline and reporting,1148
Min cooling balance point temp reporting period,65.0
Max cooling balance point temp reporting period,75.0
Average cooling balance point temp reporting period,68.9964028777
Min heating balance point temp reporting period,55.0
Max heating balance point temp reporting period,65.0
Average heating balance point temp reporting period,60.7304163726
