Summary Stat,Value
Total number of sites included in first-stage estimation,1681
Total number of sites with cumulative gross savings estimates,1681
Total number of sites with normal year annualized gross savings,1681
Total number of sites with year one annualized gross savings,1681
Total number of sites with year two annualized gross savings,727
Min cumulative gross savings,-19897.4592156
Max cumulative gross savings,51315.8290295
Average cumulative gross savings,696.62661465
10th percentile value cumulative gross savings,-2691.07190817
20th percentile value cumulative gross savings,-1270.49013945
30th percentile value cumulative gross savings,-448.614656249
40th percentile value cumulative gross savings,97.1280805479
50th percentile value cumulative gross savings,524.361898259
60th percentile value cumulative gross savings,1047.67143935
70th percentile value cumulative gross savings,1755.04739036
80th percentile value cumulative gross savings,2715.67289705
90th percentile value cumulative gross savings,4261.56747954
Min normal year annualized savings,-10869.2838293
Max normal year annualized savings,28736.1210772
Average normal year annualized savings,365.400717025
10th percentile value normal year annualized savings,-1463.13872731
20th percentile value normal year annualized savings,-672.635765619
30th percentile value normal year annualized savings,-250.979106333
40th percentile value normal year annualized savings,70.4229736862
50th percentile value normal year annualized savings,308.011675937
60th percentile value normal year annualized savings,561.295406768
70th percentile value normal year annualized savings,941.225797516
80th percentile value normal year annualized savings,1501.9859112
90th percentile value normal year annualized savings,2366.6227019
Min year one annualized savings,-10346.49773
Max year one annualized savings,47256.483406
Average year one annualized savings,379.293221753
10th percentile value year one annualized savings,-1446.72626396
20th percentile value year one annualized savings,-658.495559224
30th percentile value year one annualized savings,-244.055412901
40th percentile value year one annualized savings,48.1693906369
50th percentile value year one annualized savings,269.728019501
60th percentile value year one annualized savings,530.076564039
70th percentile value year one annualized savings,894.318760976
80th percentile value year one annualized savings,1427.37812666
90th percentile value year one annualized savings,2260.6182318
Min year two annualized savings,-12133.8959943
Max year two annualized savings,23829.5077732
Average year two annualized savings,460.701496074
10th percentile value year two annualized savings,-2018.48438071
20th percentile value year two annualized savings,-833.415556609
30th percentile value year two annualized savings,-334.370011382
40th percentile value year two annualized savings,45.8512980451
50th percentile value year two annualized savings,366.281295466
60th percentile value year two annualized savings,768.214292979
70th percentile value year two annualized savings,1263.72138568
80th percentile value year two annualized savings,1897.85191133
90th percentile value year two annualized savings,2904.80224156
Min heating balance point temp baseline period,55.0
Max heating balance point temp baseline period,65.0
Average heating balance point temp baseline period,61.0822722821
10th percentile value heating balance point temp baseline period,55.0
20th percentile value heating balance point temp baseline period,55.0
30th percentile value heating balance point temp baseline period,60.0
40th percentile value heating balance point temp baseline period,60.0
50th percentile value heating balance point temp baseline period,60.0
60th percentile value heating balance point temp baseline period,65.0
70th percentile value heating balance point temp baseline period,65.0
80th percentile value heating balance point temp baseline period,65.0
90th percentile value heating balance point temp baseline period,65.0
Min cooling balance point temp baseline period,65.0
Max cooling balance point temp baseline period,75.0
Average cooling balance point temp baseline period,68.9305402426
10th percentile value cooling balance point temp baseline period,65.0
20th percentile value cooling balance point temp baseline period,65.0
30th percentile value cooling balance point temp baseline period,65.0
40th percentile value cooling balance point temp baseline period,65.0
50th percentile value cooling balance point temp baseline period,70.0
60th percentile value cooling balance point temp baseline period,70.0
70th percentile value cooling balance point temp baseline period,70.0
80th percentile value cooling balance point temp baseline period,75.0
90th percentile value cooling balance point temp baseline period,75.0
Count of heating + cooling models baseline period,508
Count of heating only models baseline period,513
Count of cooling only models baseline period,399
Count of intercept-only models baseline period,261
Mean heating coefficient value across all baseline period models,0.854931463323
Min heating coefficient value across all baseline period models,0.038839928557
Max heating coefficient value across all baseline period models,10.4664441813
Mean cooling coefficient value across all baseline period models,7.98758516798
Min cooling coefficient value across all baseline period models,0.0765966378448
Max cooling coefficient value across all baseline period models,2247.05402156
Count of sites where number of model parameters changes between baseline and reporting,784
Count of sites where type of model changes between baseline and reporting,847
Min cooling balance point temp reporting period,65.0
Max cooling balance point temp reporting period,75.0
Average cooling balance point temp reporting period,68.5256410256
Min heating balance point temp reporting period,55.0
Max heating balance point temp reporting period,65.0
Average heating balance point temp reporting period,61.0679133858
