Summary Stat,Value
Total number of sites included in first-stage estimation,2512
Total number of sites with cumulative gross savings estimates,2512
Total number of sites with normal year annualized gross savings,2512
Total number of sites with year one annualized gross savings,2512
Total number of sites with year two annualized gross savings,1019
Min cumulative gross savings,-12194.2185787
Max cumulative gross savings,8739.85564702
Average cumulative gross savings,83.0163753115
10th percentile value cumulative gross savings,-167.078981393
20th percentile value cumulative gross savings,-57.6882954909
30th percentile value cumulative gross savings,-1.53320050611
40th percentile value cumulative gross savings,42.1431085094
50th percentile value cumulative gross savings,79.1439652091
60th percentile value cumulative gross savings,123.373934481
70th percentile value cumulative gross savings,176.258653731
80th percentile value cumulative gross savings,246.254897572
90th percentile value cumulative gross savings,371.245002643
Min normal year annualized savings,-8100.64203129
Max normal year annualized savings,5192.22489926
Average normal year annualized savings,66.9260483867
10th percentile value normal year annualized savings,-129.671147768
20th percentile value normal year annualized savings,-45.2743858391
30th percentile value normal year annualized savings,-1.7570092914
40th percentile value normal year annualized savings,31.9689541678
50th percentile value normal year annualized savings,66.1316281269
60th percentile value normal year annualized savings,97.814193697
70th percentile value normal year annualized savings,137.128980498
80th percentile value normal year annualized savings,191.736915367
90th percentile value normal year annualized savings,285.261847907
Min year one annualized savings,-8377.49138076
Max year one annualized savings,4374.82762129
Average year one annualized savings,51.019008323
10th percentile value year one annualized savings,-87.377029808
20th percentile value year one annualized savings,-29.21350429
30th percentile value year one annualized savings,2.69313552879
40th percentile value year one annualized savings,26.0666550923
50th percentile value year one annualized savings,49.2475157728
60th percentile value year one annualized savings,75.1314563644
70th percentile value year one annualized savings,103.441589532
80th percentile value year one annualized savings,144.710759602
90th percentile value year one annualized savings,218.511539305
Min year two annualized savings,-4166.73441916
Max year two annualized savings,4365.02802573
Average year two annualized savings,55.7319992999
10th percentile value year two annualized savings,-109.33412038
20th percentile value year two annualized savings,-40.1265774194
30th percentile value year two annualized savings,2.0424562649
40th percentile value year two annualized savings,28.6924557473
50th percentile value year two annualized savings,55.3750732475
60th percentile value year two annualized savings,83.3459328344
70th percentile value year two annualized savings,113.421692435
80th percentile value year two annualized savings,157.353372236
90th percentile value year two annualized savings,225.239867471
Min heating balance point temp baseline period,60.0
Max heating balance point temp baseline period,60.0
Average heating balance point temp baseline period,60.0
10th percentile value heating balance point temp baseline period,60.0
20th percentile value heating balance point temp baseline period,60.0
30th percentile value heating balance point temp baseline period,60.0
40th percentile value heating balance point temp baseline period,60.0
50th percentile value heating balance point temp baseline period,60.0
60th percentile value heating balance point temp baseline period,60.0
70th percentile value heating balance point temp baseline period,60.0
80th percentile value heating balance point temp baseline period,60.0
90th percentile value heating balance point temp baseline period,60.0
Min cooling balance point temp baseline period,nan
Max cooling balance point temp baseline period,nan
Average cooling balance point temp baseline period,nan
10th percentile value cooling balance point temp baseline period,nan
20th percentile value cooling balance point temp baseline period,nan
30th percentile value cooling balance point temp baseline period,nan
40th percentile value cooling balance point temp baseline period,nan
50th percentile value cooling balance point temp baseline period,nan
60th percentile value cooling balance point temp baseline period,nan
70th percentile value cooling balance point temp baseline period,nan
80th percentile value cooling balance point temp baseline period,nan
90th percentile value cooling balance point temp baseline period,nan
Count of heating + cooling models baseline period,"Not applicable to gas"
Count of heating only models baseline period,2326
Count of cooling only models baseline period,"Not applicable to gas"
Count of intercept-only models baseline period,186
Mean heating coefficient value across all baseline period models,0.235512766842
Min heating coefficient value across all baseline period models,0.00340181984991
Max heating coefficient value across all baseline period models,2.34801515942
Mean cooling coefficient value across all baseline period models,nan
Min cooling coefficient value across all baseline period models,nan
Max cooling coefficient value across all baseline period models,nan
Count of sites where number of model parameters changes between baseline and reporting,202
Count of sites where type of model changes between baseline and reporting,202
Min cooling balance point temp reporting period,nan
Max cooling balance point temp reporting period,nan
Average cooling balance point temp reporting period,nan
Min heating balance point temp reporting period,60.0
Max heating balance point temp reporting period,60.0
Average heating balance point temp reporting period,60.0
