Summary Stat,Value
Total Number of usage records,4703307
Number of unique SPIDs,2934
Total number of missing hours across all usage records,16536
Total number of estimated hours across all usage records,274767.33600000344
Number of net metering accounts dropped from sample,1234
Top 10 users by total use,"6865976305,7761050005,7495824610,7495928905,9842905905,1333816905,7087702905,1591373705,5182491105,7799642005"
Bottom 10 users by total use,"6195976210,6079184105,7509221105,6079183105,6079185205,1215559514,5635201905,2765339505,3010258405,0626829510"
Min Datetime stamp across all usage records,2012-01-01
Max Datetime stamp across all usage records,2016-07-18
Average Datetime stamp aross all usage records,2014-04-09
Min use across all usage records,0.0
Max use across all usage records,31.1025
Average use across all usage records,0.8506053799257823
Use across all usage records 10th percentile value,0.1679
Use across all usage records 20th percentile value,0.247
Use across all usage records 30th percentile value,0.324
Use across all usage records 40th percentile value,0.4094
Use across all usage records 50th percentile value,0.5106
Use across all usage records 60th percentile value,0.6365
Use across all usage records 70th percentile value,0.8074
Use across all usage records 80th percentile value,1.0746
Use across all usage records 90th percentile value,1.6344
