Summary Stat,Value
Number of total records,3845
Number of unique project electric SAIDs,3460
Top 10 zip codes by count,"95687, 95688, 93711, 94533, 93635, 95616, 94530, 94611, 94534, 95209"
Bottom 10 zip codes by count,"93625, 93618, 93610, 93453, 93444, 93436, 93420, 93301, 93292, 93245"
Min work start date,2012-08-20
Max work start date,2016-06-19
Average work start date,2015-01-12
Work start date 10th percentile value,2014-01-16
Work start date 20th percentile value,2014-04-09
Work start date 30th percentile value,2014-06-27
Work start date 40th percentile value,2014-10-01
Work start date 50th percentile value,2015-01-08
Work start date 60th percentile value,2015-04-08
Work start date 70th percentile value,2015-07-21
Work start date 80th percentile value,2015-11-03
Work start date 90th percentile value,2016-01-26
Min work end date,2012-12-03
Max work end date,2016-06-23
Average work end date,2015-02-26
Work end date 10th percentile value,2014-03-07
Work end date 20th percentile value,2014-06-01
Work end date 30th percentile value,2014-08-20
Work end date 40th percentile value,2014-11-04
Work end date 50th percentile value,2015-02-09
Work end date 60th percentile value,2015-05-18
Work end date 70th percentile value,2015-09-02
Work end date 80th percentile value,2015-12-08
Work end date 90th percentile value,2016-03-11
