ZipCode,ClimateZone,WeatherFile,WthrStationNum,IsValid
*,*,unknown,,0.0
90001,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90002,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90003,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90004,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90005,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90006,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90007,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90007,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90008,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90010,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90011,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90012,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90013,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90014,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90015,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90015,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90016,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90016,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90017,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90018,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90018,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90019,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90020,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90021,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90021,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90022,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90023,8,HAWTHORNE-NORTHROP-FLD_722956,722956.0,1.0
90023,9,LOS-ANGELES-DOWNTOWN_722874,722874.0,1.0
90024,6,SANTA-MONICA_722885,722885.0,1.0
90024,9,BURBANK-GLENDALE_722880,722880.0,1.0
